id,name,type,alias,desc,date,role,tags
"ep","Parlement européen","org","PE, European Parliament","Institution législative de l'Union européenne composée de 720 députés élus au suffrage universel direct. Siège à Strasbourg, travaux à Bruxelles.","1952","","institution,UE,législatif,démocratie,Strasbourg,Bruxelles"
"ec","Commission européenne","org","CE, European Commission","Organe exécutif de l'UE, propose les lois et veille à leur application. Un commissaire par État membre.","1958","","institution,UE,exécutif,Bruxelles"
"council","Conseil européen","org","European Council","Réunit les chefs d'État ou de gouvernement des États membres. Définit les orientations politiques générales de l'UE.","1974","","institution,UE,intergouvernemental,sommets"
"epp","Groupe PPE","org","EPP, Parti populaire européen, Christian Democrats","Premier groupe politique du PE avec 188 sièges (26.1%). Centre-droit, chrétiens-démocrates, conservateurs modérés. Pro-européen.","1976","ally","groupe-PE,centre-droit,chrétien-démocrate,pro-UE,majorité"
"sd","Groupe S&D","org","Socialistes et Démocrates, Progressive Alliance","Deuxième groupe du PE avec 136 sièges (18.9%). Centre-gauche, sociaux-démocrates. Pro-européen.","1953","ally","groupe-PE,centre-gauche,social-démocrate,pro-UE,majorité"
"pfe","Patriots for Europe","org","PfE, Patriotes pour l'Europe","Troisième groupe du PE avec 84 sièges (11.7%). Droite nationaliste, eurosceptique. Fondé en juillet 2024 par Orbán, remplace ID.","2024","adversary","groupe-PE,extrême-droite,nationaliste,eurosceptique,populiste,souverainiste"
"ecr","Groupe ECR","org","Conservateurs et Réformistes européens","Quatrième groupe du PE avec 78 sièges (10.8%). Droite conservatrice, eurosceptique soft, anti-fédéraliste.","2009","undecided","groupe-PE,droite,conservateur,eurosceptique,souverainiste"
"renew","Renew Europe","org","RE, Libéraux","Cinquième groupe du PE avec 77 sièges (10.7%). Centre, libéraux, pro-européens. Inclut ALDE et EDP.","2019","ally","groupe-PE,centre,libéral,pro-UE,majorité,centriste"
"greens","Verts/ALE","org","Greens/EFA, Verts, Alliance libre européenne","Sixième groupe du PE avec 53 sièges. Écologistes et régionalistes. Pertes importantes en 2024 (-19 sièges).","1999","ally","groupe-PE,écologiste,gauche,pro-UE,régionaliste,climat"
"left","The Left - GUE/NGL","org","La Gauche, Gauche unitaire européenne","Septième groupe du PE avec 46 sièges. Gauche radicale, eurosceptique de gauche.","1995","undecided","groupe-PE,gauche-radicale,eurosceptique,anti-austérité"
"esn","Europe of Sovereign Nations","org","ESN, Europe des Nations Souveraines","Huitième groupe du PE, créé en 2024. Extrême-droite dure. Inclut l'AfD allemand.","2024","adversary","groupe-PE,extrême-droite,souverainiste,eurosceptique"
"vonderleyen","Ursula von der Leyen","person","VdL, UvdL","Présidente de la Commission européenne depuis 2019, réélue en 2024 avec 401 voix. CDU allemande, membre du PPE.","1958","ally","Commission,présidente,CDU,PPE,Allemagne,femme"
"metsola","Roberta Metsola","person","","Présidente du Parlement européen depuis 2022. Parti nationaliste maltais, membre du PPE. Plus jeune présidente du PE.","1979","ally","PE,présidente,PPE,Malte,femme"
"costa","António Costa","person","","Président du Conseil européen depuis décembre 2024. Ancien Premier ministre du Portugal (2015-2024). PS portugais, S&D.","1961","ally","Conseil-européen,président,PS,S&D,Portugal,socialiste"
"kallas","Kaja Kallas","person","","Haute Représentante pour les affaires étrangères depuis 2024. Ancienne Première ministre d'Estonie. Parti de la Réforme, Renew.","1977","ally","diplomatie,PESC,Estonie,Renew,femme,atlantiste"
"weber","Manfred Weber","person","","Président du groupe PPE au PE et du parti PPE. CSU bavaroise. Candidat malheureux à la présidence de la Commission en 2019.","1972","ally","PPE,président-groupe,CSU,Allemagne,Bavière"
"garcia","Iratxe García Pérez","person","Iratxe García","Présidente du groupe S&D au PE. PSOE espagnol. Eurodéputée depuis 2004.","1974","ally","S&D,présidente-groupe,PSOE,Espagne,femme,socialiste"
"bardella","Jordan Bardella","person","","Président du groupe Patriots for Europe et du Rassemblement National français. Plus jeune président de groupe au PE.","1995","adversary","PfE,président-groupe,RN,France,extrême-droite,nationaliste"
"hayer","Valérie Hayer","person","","Présidente du groupe Renew Europe. Renaissance français (parti de Macron). Tête de liste aux européennes 2024.","1986","ally","Renew,présidente-groupe,Renaissance,France,femme,macroniste"
"reintke","Terry Reintke","person","","Co-présidente du groupe Verts/ALE. Grünen allemande. Militante LGBT+.","1987","ally","Verts,co-présidente,Grüne,Allemagne,femme,LGBT"
"aubry","Manon Aubry","person","","Co-présidente du groupe The Left. La France Insoumise. Ancienne porte-parole d'Oxfam France.","1989","undecided","Left,co-présidente,LFI,France,femme,gauche-radicale"
"meloni","Giorgia Meloni","person","","Première ministre d'Italie depuis 2022. Présidente de Fratelli d'Italia et ancienne présidente de l'ECR (jusqu'en déc. 2024). Première femme à diriger le gouvernement italien.","1977","undecided","Italie,Premier-ministre,FDI,ECR,droite,femme,conservateur"
"orban","Viktor Orbán","person","","Premier ministre de Hongrie depuis 2010. Président du Fidesz. Fondateur de Patriots for Europe. Critiqué pour dérive autoritaire.","1963","adversary","Hongrie,Premier-ministre,Fidesz,PfE,autoritarisme,illibéralisme"
"macron","Emmanuel Macron","person","","Président de la République française depuis 2017. Fondateur de Renaissance/En Marche. Pro-européen, centriste.","1977","ally","France,président,Renaissance,Renew,pro-UE,centriste"
"scholz","Olaf Scholz","person","","Chancelier d'Allemagne depuis 2021. SPD. Coalition ""feu tricolore"" (SPD-Verts-FDP) dissoute en novembre 2024.","1958","ally","Allemagne,chancelier,SPD,S&D,social-démocrate"
"tusk","Donald Tusk","person","","Premier ministre de Pologne depuis 2023. Plateforme civique (PO). Ancien président du Conseil européen (2014-2019). Pro-UE.","1957","ally","Pologne,Premier-ministre,PO,PPE,pro-UE"
"sanchez","Pedro Sánchez","person","","Président du gouvernement espagnol depuis 2018. PSOE. Coalition avec Sumar.","1972","ally","Espagne,Premier-ministre,PSOE,S&D,socialiste"
"lepen","Marine Le Pen","person","MLP","Présidente d'honneur du RN. Candidate à la présidentielle 2017, 2022, potentiellement 2027. Condamnée en 2025 pour détournement de fonds européens.","1968","adversary","France,RN,PfE,extrême-droite,nationaliste,présidentielle"
"salvini","Matteo Salvini","person","","Vice-Premier ministre d'Italie et ministre des Infrastructures. Secrétaire fédéral de la Lega. Patriots for Europe.","1973","adversary","Italie,Lega,PfE,extrême-droite,souverainiste"
"morawiecki","Mateusz Morawiecki","person","","Ancien Premier ministre de Pologne (2017-2023). PiS. Président de l'ECR depuis décembre 2024, succédant à Meloni.","1968","undecided","Pologne,PiS,ECR,conservateur,président-groupe"
"wilders","Geert Wilders","person","","Leader du PVV néerlandais. Vainqueur des élections 2023 aux Pays-Bas. Islamophobe, eurosceptique. Patriots for Europe.","1963","adversary","Pays-Bas,PVV,PfE,extrême-droite,islamophobe"
"abascal","Santiago Abascal","person","","Président de Vox (Espagne). Parti d'extrême-droite espagnol. A rejoint Patriots for Europe en 2024 (quittant l'ECR).","1976","adversary","Espagne,Vox,PfE,extrême-droite,nationaliste"
"babis","Andrej Babiš","person","","Ancien Premier ministre tchèque. Parti ANO. Co-fondateur de Patriots for Europe avec Orbán en 2024.","1954","adversary","Tchéquie,ANO,PfE,populiste,oligarque"
"cdu","CDU/CSU","org","Union chrétienne-démocrate, Union","Parti chrétien-démocrate allemand (CDU) et son allié bavarois (CSU). Premier parti allemand. 30 eurodéputés. PPE.","1945","ally","Allemagne,PPE,chrétien-démocrate,centre-droit,Merkel"
"spd","SPD","org","Parti social-démocrate d'Allemagne","Plus vieux parti allemand. Social-démocrate. 14 eurodéputés. S&D. Scholz.","1863","ally","Allemagne,S&D,social-démocrate,centre-gauche"
"grune","Bündnis 90/Die Grünen","org","Verts allemands, Grüne","Parti écologiste allemand. 16 eurodéputés (pertes en 2024). Verts/ALE. Annalena Baerbock (Affaires étrangères).","1980","ally","Allemagne,Verts,écologiste,gauche"
"afd","Alternative für Deutschland","org","AfD","Parti d'extrême-droite allemand. Eurosceptique. Exclu du groupe ID en 2024, rejoint ESN. 15 eurodéputés.","2013","adversary","Allemagne,ESN,extrême-droite,eurosceptique,anti-immigration"
"rn","Rassemblement National","org","RN, ex-FN","Premier parti français aux européennes 2024 (30+ sièges). Extrême-droite. Bardella, Le Pen. Patriots for Europe.","1972","adversary","France,PfE,extrême-droite,nationaliste,eurosceptique"
"renaissance","Renaissance","org","RE, LREM, En Marche","Parti centriste français de Macron. 13 eurodéputés (pertes en 2024). Renew Europe.","2016","ally","France,Renew,centriste,pro-UE,libéral,macronisme"
"lfi","La France Insoumise","org","LFI, Insoumis","Parti de gauche radicale français. Mélenchon. 9 eurodéputés. The Left. Eurosceptique de gauche.","2016","undecided","France,Left,gauche-radicale,populiste,Mélenchon"
"lr","Les Républicains","org","LR, ex-UMP","Parti de droite gaulliste français. Affaibli. 6 eurodéputés. PPE. Crise interne sur l'alliance avec le RN.","2015","ally","France,PPE,droite,gaulliste,conservateur"
"ps_fr","Parti Socialiste (France)","org","PS","Parti social-démocrate français. Renaissance sous Hollande, déclin puis légère remontée. 13 eurodéputés. S&D.","1969","ally","France,S&D,socialiste,centre-gauche"
"fdi","Fratelli d'Italia","org","FDI, Frères d'Italie","Parti de Giorgia Meloni. Premier parti italien. Post-fasciste devenu conservateur. 24 eurodéputés. ECR.","2012","undecided","Italie,ECR,droite,nationaliste,conservateur"
"pd","Partito Democratico","org","PD, Parti démocrate","Principal parti de centre-gauche italien. Elly Schlein. 21 eurodéputés. S&D.","2007","ally","Italie,S&D,centre-gauche,social-démocrate"
"lega","Lega","org","Lega Nord, Ligue","Parti de Salvini. Ex-régionaliste devenu nationaliste italien. 8 eurodéputés. Patriots for Europe.","1991","adversary","Italie,PfE,extrême-droite,nationaliste,eurosceptique"
"m5s","Movimento 5 Stelle","org","M5S, Cinq Étoiles","Mouvement anti-establishment italien. Giuseppe Conte. 8 eurodéputés. Non-inscrits puis tentatives d'alliance.","2009","undecided","Italie,populiste,anti-establishment,écologiste"
"pp","Partido Popular","org","PP","Parti de centre-droit espagnol. Alberto Núñez Feijóo. Premier parti espagnol aux européennes 2024. 22 eurodéputés. PPE.","1989","ally","Espagne,PPE,centre-droit,conservateur"
"psoe","PSOE","org","Parti socialiste ouvrier espagnol","Parti de Pedro Sánchez. Social-démocrate. Au gouvernement. 20 eurodéputés. S&D.","1879","ally","Espagne,S&D,socialiste,centre-gauche"
"vox","Vox","org","","Parti d'extrême-droite espagnol. Abascal. A quitté l'ECR pour Patriots for Europe en 2024. 6 eurodéputés.","2013","adversary","Espagne,PfE,extrême-droite,nationaliste,anti-immigration"
"po","Platforma Obywatelska","org","PO, Plateforme civique, KO","Parti de Donald Tusk. Coalition Koalicja Obywatelska. Libéral-conservateur, pro-UE. 21 eurodéputés. PPE.","2001","ally","Pologne,PPE,libéral,pro-UE,centriste"
"pis","Prawo i Sprawiedliwość","org","PiS, Droit et Justice","Parti conservateur national polonais. Kaczyński. Opposition depuis 2023. 20 eurodéputés. ECR.","2001","undecided","Pologne,ECR,conservateur,nationaliste,eurosceptique"
"fidesz","Fidesz","org","Union civique hongroise","Parti de Viktor Orbán. Dominant en Hongrie depuis 2010. A quitté le PPE en 2021. 11 eurodéputés. Patriots for Europe.","1988","adversary","Hongrie,PfE,nationaliste,illibéral,autoritaire"
"pvv","PVV","org","Parti pour la Liberté","Parti de Geert Wilders. Extrême-droite néerlandaise. Vainqueur des législatives 2023. 6 eurodéputés. Patriots for Europe.","2006","adversary","Pays-Bas,PfE,extrême-droite,islamophobe,eurosceptique"
"vvd","VVD","org","Parti populaire pour la liberté et la démocratie","Parti libéral-conservateur néerlandais. Parti de Mark Rutte. 4 eurodéputés. Renew puis PPE.","1948","ally","Pays-Bas,PPE,libéral,centre-droit"
"nva","N-VA","org","Nieuw-Vlaamse Alliantie","Parti nationaliste flamand belge. Centre-droit, indépendantiste. 3 eurodéputés. ECR.","2001","undecided","Belgique,ECR,nationaliste,flamand,séparatiste"
"vb","Vlaams Belang","org","VB","Parti d'extrême-droite flamand. Tom Van Grieken. 3 eurodéputés. Patriots for Europe.","2004","adversary","Belgique,PfE,extrême-droite,flamand,séparatiste"
"fpo","FPÖ","org","Parti de la Liberté d'Autriche","Parti d'extrême-droite autrichien. Herbert Kickl. Vainqueur des législatives 2024. 6 eurodéputés. Patriots for Europe.","1956","adversary","Autriche,PfE,extrême-droite,eurosceptique"
"ovp","ÖVP","org","Parti populaire autrichien","Parti conservateur autrichien. Centre-droit. 5 eurodéputés. PPE.","1945","ally","Autriche,PPE,conservateur,centre-droit"
"sd_sweden","Sverigedemokraterna","org","SD, Démocrates de Suède","Parti d'extrême-droite suédois. Jimmie Åkesson. 3 eurodéputés. ECR.","1988","undecided","Suède,ECR,extrême-droite,nationaliste"
"finns","Perussuomalaiset","org","Vrais Finlandais, Finns Party","Parti populiste de droite finlandais. Au gouvernement depuis 2023. 4 eurodéputés. Patriots for Europe (ex-ECR).","1995","adversary","Finlande,PfE,populiste,eurosceptique"
"ods","ODS","org","Parti démocrate civique","Parti conservateur tchèque. Petr Fiala (Premier ministre). 3 eurodéputés. ECR.","1991","undecided","Tchéquie,ECR,conservateur,libéral"
"ano","ANO 2011","org","ANO","Parti populiste tchèque d'Andrej Babiš. A quitté Renew pour Patriots for Europe en 2024. 7 eurodéputés.","2011","adversary","Tchéquie,PfE,populiste,centriste"
"volt","Volt Europa","org","Volt","Parti paneuropéen progressiste. Fédéraliste. 5 eurodéputés. Verts/ALE.","2017","ally","paneuropéen,Verts,fédéraliste,pro-UE,jeunes"
"elections2024","Élections européennes 2024","event","","Élections du 6-9 juin 2024. 720 députés élus. Victoire du PPE, percée de l'extrême-droite (PfE, ECR). Taux de participation: 51%.","6-9 juin 2024","","élections,2024,PE,démocratie,participation"
"formation_pfe","Création de Patriots for Europe","event","","Formation du groupe PfE le 8 juillet 2024 par Orbán, Babiš et Kickl. Rejoint par le RN, Lega, Vox, PVV. Remplace ID.","8 juillet 2024","","groupe,extrême-droite,Orbán,recomposition"
"election_vdl","Réélection de von der Leyen","event","","Ursula von der Leyen réélue présidente de la Commission le 18 juillet 2024 avec 401 voix (284 contre). Soutien PPE, S&D, Renew, Verts.","18 juillet 2024","","Commission,vote,majorité,coalition"
"condamnation_lepen","Condamnation de Marine Le Pen","event","","Marine Le Pen condamnée pour détournement de fonds européens (affaire des assistants parlementaires). Inéligible 5 ans (appel en cours).","2025","","justice,RN,corruption,inéligibilité,France"
"chute_scholz","Chute de la coalition Scholz","event","","Effondrement de la coalition ""feu tricolore"" en Allemagne. Départ du FDP. Élections anticipées prévues en 2025.","Novembre 2024","","Allemagne,crise,coalition,Scholz"
"qatargate","Qatargate","event","Scandale de corruption","Scandale de corruption au PE révélé en décembre 2022. Eva Kaili (vice-présidente) arrêtée. Implication du Qatar et du Maroc.","Décembre 2022","","corruption,PE,Qatar,Maroc,scandale"
"russiagate","Russiagate européen","event","Ingérence russe","Enquêtes sur l'influence russe au PE. Plusieurs eurodéputés accusés de promouvoir les intérêts russes. Nathan Gill (UK) condamné.","2023-2025","","Russie,ingérence,corruption,PE,désinformation"
"green_deal","Pacte vert européen","object","Green Deal, European Green Deal","Ensemble de politiques visant la neutralité carbone en 2050. Priorité de la Commission von der Leyen I. Contesté par la droite et l'extrême-droite.","2019","","climat,environnement,législation,2050,transition"
"pacte_migration","Pacte sur la migration et l'asile","object","Migration Pact","Réforme du système d'asile européen adoptée en 2024. Solidarité obligatoire entre États. Critiqué à gauche et à droite.","2024","","migration,asile,réforme,solidarité"
"strasbourg","Strasbourg","place","","Siège officiel du Parlement européen. Sessions plénières mensuelles. Symbole de la réconciliation franco-allemande.","","","PE,siège,France,Alsace,sessions"
"bruxelles","Bruxelles","place","Brussels","Capitale de facto de l'UE. Siège de la Commission, du Conseil et des commissions du PE. Quartier européen.","","","UE,Commission,Conseil,Belgique,institutions"
"spitzenkandidat","Système Spitzenkandidat","object","Tête de liste","Procédure où chaque groupe présente un candidat à la présidence de la Commission. Controversé (non appliqué en 2019).","2014","","procédure,Commission,démocratie,élections"
"ent-neo","Neo","person","","L’Élu capable de manipuler la Matrice.","","ally","elu,resistance,code"
"ent-trinity","Trinity","person","","Combattante de la résistance humaine.","","ally","resistance,combat"
